generation,max,min,std,avg
0,0.9999998677031042,-0.8285018927036187,11.376133655923352,0.6894412090281471
1,0.9999998814199105,-0.5492677218464622,3.8691510493569448,0.8832151255790873
2,0.9999999283393778,-0.03725932544532495,1.8563246408573744,0.9377163048538081
3,0.999999930064751,0.015597516374504192,2.134227172966448,0.9271904535194418
4,0.999999938317087,0.10231350652563234,1.7778667179213608,0.9431829716023367
5,0.999999939322844,0.32055725879209446,1.4753754488434736,0.9552535041538642
6,0.9999999404480214,0.5854435711316724,0.48577141763982923,0.9816802654014164
7,0.999999952824316,0.24886907483432436,1.0784099486005456,0.9662949581773584
8,0.9999999533171504,0.5932359422877971,0.5168970247328303,0.978852738525514
9,0.9999999561373947,0.41915581641687716,0.6019649578821247,0.9745718718945954
10,0.9999999561373947,0.30211359216361594,0.903537064059302,0.9680249200186103
11,0.9999999563304381,0.5305993316249678,0.7716825881025887,0.9792287870984671
12,0.9999999563304381,0.4272171160367771,1.3192237488748435,0.9674587166699398
13,0.9999999563304381,0.6270478647130421,1.1089084239613074,0.972411955482345
14,0.9999999590018149,0.20014113861386199,1.0731075317361711,0.9656173917377286
15,0.9999999603460393,0.4884467660145034,0.6489118226833162,0.9793717823082405
16,0.9999999617918093,0.28652658028866984,1.2629266355218982,0.9635729452790776
17,0.99999996473,0.13722192652133672,1.5254333775518492,0.9609721670966201
18,0.99999996473,0.4303307297990261,1.3770003752148872,0.9722368676892029
19,0.9999999651426125,0.6774359320796269,0.47921124405364085,0.9877092340278404
20,0.9999999669387645,0.516071432881435,0.7206327350222839,0.9824675327601844
21,0.9999999669387645,0.5350141627742261,1.2498346229016153,0.9738829169978552
22,0.9999999690509942,0.7803238026560159,0.23925150400262907,0.989783237618359
23,0.9999999690509942,0.6042236353179772,0.7176221874872245,0.9799875331272402
24,0.9999999695995084,0.8028806050540632,0.4400035093016973,0.9870455557883284
25,0.9999999695995084,0.9937157062544368,0.0006301151477481785,0.99933155801973
26,0.9999999696049887,0.8734203529535433,0.10534995567305214,0.9956964680781908
27,0.9999999696518637,0.9977610519925968,2.6072179739024405e-05,0.9999206789358547
28,0.9999999699646545,0.9998912266652437,3.1566291286387335e-08,0.9999942356005226
29,0.9999999700076917,0.9852721656296991,0.001135100884589126,0.9995061151816466
