generation,max,min,std,avg
0,0.7616540235804319,-0.24987036517085195,1.3127555230157262,0.2850705842321101
1,0.7762331551694739,-0.1872303691454408,1.3597543750739134,0.30337550245409817
2,0.8178085426070858,-0.04095020303935817,1.3298867115071458,0.3370340622311919
3,0.8178085426070858,-0.11231992955680666,1.3664626508868833,0.33582883637505856
4,0.8291029617605531,-0.07390262413577595,1.3016282849780985,0.347086432966131
5,0.8380832146087103,0.038592754162243004,1.322762983046521,0.36738284787417386
6,0.8383330675164533,-0.06400899349199554,1.400912633002333,0.3579475000511877
7,0.859371828231755,0.02772625126961149,1.6011579198829495,0.3686601284753277
8,0.8725462385793508,-0.011342418498366359,1.7696891356677473,0.3877285975959991
9,0.8861277989178804,0.07905482391203288,1.782659760224017,0.4270596100862548
10,0.8913568330519002,-0.010340855249262926,1.8190221389857832,0.43710567228537045
11,0.9036135235416388,-0.14209662455011446,2.099901777663111,0.44324485301106653
12,0.9047430755081569,-0.10070323988274929,1.9309640062628328,0.43928016574823603
13,0.9047430755081569,-0.07030128374165444,1.8687193190268094,0.4522725201130072
14,0.9047430755081569,-0.061523319152361845,2.0494027194048265,0.4557215502959833
15,0.9057187311136297,-0.08234725856887229,2.1100122660568124,0.4633690042864075
16,0.9057187311136297,-0.10568811964196409,2.2434086285564625,0.47531835964910557
17,0.9057187311136297,-0.011281399586061147,2.0962269865475394,0.49371802649202234
18,0.905863902669813,-0.019895596729031274,1.9424635228872436,0.537572187687307
19,0.90595957370932,0.00411264086549803,2.0847895628423347,0.551002031167654
20,0.906540695411017,-0.011334712403197523,2.2875883235435976,0.5541659847729112
21,0.9066121855985806,0.046831575794370715,1.7899099671897425,0.5896803030762914
22,0.9066121855985806,0.15898749987822697,1.5880304694636007,0.5979697612562727
23,0.9077176838944748,0.13004960126402057,1.5176337347654436,0.6221781682105506
24,0.9084395742773289,0.10372476225762181,1.4777612588821614,0.6268958784813178
25,0.9084395742773289,0.11438600553005887,1.527031705650552,0.651058254209139
26,0.9093376504873693,0.1529632318333994,1.382837400105953,0.6609516250364241
27,0.9161087836367592,0.2639455060572968,1.0642785551040528,0.6961778027417659
28,0.9225163667908518,0.19661832572652435,1.1403890006298045,0.6810582506614486
29,0.9225163667908518,0.24715340573285682,1.0930614286918305,0.6975264981301285
