generation,max,min,std,avg
0,0.5743349701749512,-0.9991982631665414,4.143268678058528,-0.8203424670417441
1,0.6642861161609405,-0.9992130733724751,8.585937300320134,-0.6493614537945556
2,0.743236962782949,-0.9989151403140152,11.830459934293527,-0.44627074646902737
3,0.7439192098516887,-0.9987227901244232,13.807507364118953,-0.25392919918678825
4,0.8096374083520328,-0.9962540302443145,12.878361611965854,0.0106588016474868
5,0.8650547234995953,-0.9424615368488565,10.659922214764585,0.20908773776944964
6,0.9040067580040597,-0.7267989515749702,8.301794268855426,0.35754760304952937
7,0.9652864820914088,-0.639144607439451,7.744267988348108,0.4522296576904127
8,0.9660662657488105,-0.7792217078901832,9.13944996989793,0.5096819883011098
9,0.9660921689772847,-0.5422297360194176,6.60840623467749,0.6383736949077486
10,0.9661073717298665,-0.260904905646091,4.7806754822487925,0.689462870009085
11,0.9661078042818442,-0.1603385280829556,3.6360699750320777,0.7385759752721148
12,0.9661659485500026,-0.09742019147566658,2.746597553609699,0.7696141999130973
13,0.9884839183067339,-0.1550901411605591,3.4677748561178787,0.7838252542267601
14,0.9885513363039948,0.14151352144238122,2.079394188342134,0.8085110758916132
15,0.9885651922203381,0.10923256831546513,2.504527125605576,0.8299031798437092
16,0.9944866655700302,0.2813771122024507,1.9520104166887517,0.8434883534051119
17,0.9944866655700302,0.25696294675601666,2.015998483951587,0.8543892957872841
18,0.994489336091658,0.4863281837144811,1.3353667609533908,0.8952599803256055
19,0.9944895806617039,0.3524978777570706,1.2709520368921787,0.9108665744240682
20,0.9946236226066236,0.3141314254689959,1.3981324989938435,0.9092168245644278
21,0.9950775684394305,0.4736689330190272,1.006523716028758,0.9243902480472025
22,0.9950775684394305,0.13920842832925656,1.7895269601837043,0.9069170548029118
23,0.9950799097064367,0.24917895359650938,1.600224263723733,0.9060631700484185
24,0.9950799097064367,0.49402992705827564,0.8168072023478823,0.9392471115154264
25,0.9950810119549909,0.57438824088391,0.6550094807595666,0.9437007554554887
26,0.9950810119549909,0.6572469212341063,0.39835839693452957,0.9472628877543519
27,0.9950810119549909,0.7090186540316873,0.27418938876754145,0.9560595890854593
28,0.9950810119549909,0.6379848928248752,0.39756018696305895,0.9537984181191421
29,0.9997441676914027,0.6428927324266721,0.3823349350190845,0.9545502489187843
